BCA60P Index	Bloomberg Canada 60 Price Retu
SPTSX Index	S&P/TSX Composite Index
TXEQ Index	S&P/TSX Equity Index
SPTSX60 Index	S&P/TSX 60 Index
SPTSXVEN Index	S&P/TSX Venture Composite Inde
MXPRL Index	Bloomberg Mexico Large & Mid C
MEXBOL Index	S&P/BMV IPC
INMEX Index	S&P/BMV INMEX Index
IRT Index	S&P/BMV IRT
FTBIVA Index	FTSE BIVA Price Return Index
BVPSBVPS Index	Bolsa de Valores de Panama Gen
MERVAL Index	S&P MERVAL Index TR (ARS)
IBG Index	S&P/BYMA Argentina General Ind
BRPRL Index	Bloomberg Brazil Large & Mid C
IBOV Index	Ibovespa Brasil Sao Paulo Stoc
IBX Index	Sao Paulo Stock Exchange IBrX
IBOVIEE Index	Sao Paulo Stock Exchange Elect
IGCX Index	Bovespa Exchange Shares With D
IVBX2 Index	Bovespa Valor Second Line Inde
IBX50 Index	Sao Paulo Stock Exchange 50 In
CLPL Index	Bloomberg Chile Large & Mid Ca
IPSA Index	S&P/CLX IPSA CLP TR
IGPA Index	S&P/CLX IGPA CLP TR
INTER10 Index	S&P/CLX INTER-10 CLP TR
CHILE65 Index	Chile 65 Index
CHLRGCAP Index	Chile Large Cap Index
CHSMLCAP Index	Chile Small Cap Index
IBVC Index	Caracas Stock Exchange Stock M
PEL Index	Bloomberg Peru Large & Mid Cap
SPBLPGPT Index	S&P/BVL Peru General Total Ret
SPBL25PT Index	S&P/BVL LIMA 25 Total Return P
COL Index	Bloomberg Colombia Large & Mid
COLCAP Index	MSCI COLCAP Index
COLSC Index	Colombia ICSC index
COLIR Index	Colombia COLIR Index
COLEQTY Index	Colombia IEQC Index
BSX Index	Bermuda Stock Exchange Index
JMSMX Index	Jamaica Stock Exchange Market
JMJMX Index	JSE Junior Mkt Indx
ED283183 Corp	VENZ 9 3/8 01/13/34
YW370853 Corp	CAN 3 1/4 12/01/34
91282CMM Govt	T 4 5/8 02/15/35
ZJ328828 Corp	CHILE 4.95 01/05/36
